2,3,2,1,3,3,3,2,2,3,2,1,1,3,1,2,1,2,1,2,3,3,2,2
293,34,65,66,35,34,33,35,33,34,35,35,35,35,34,33,33,35,35,35,34,35,35,292
257,34,97,98,34,102,35,33,34,35,35,36,36,35,33,35,33,34,35,164,33,34,33,256
257,161,131,162,161,134,163,161,163,193,130,68,68,163,129,129,162,194,194,196,131,130,130,256
257,130,162,129,131,129,131,193,162,194,161,162,163,162,130,130,194,163,194,129,163,163,162,256
257,193,193,161,161,161,193,194,162,162,129,163,193,194,131,194,194,163,130,162,161,130,131,256
257,193,131,193,129,193,129,161,129,194,129,129,162,163,161,163,161,194,194,130,162,131,131,256
257,193,194,163,130,131,130,193,130,162,194,131,131,163,193,194,131,129,130,161,162,131,130,256
257,163,129,193,193,194,131,161,193,162,129,194,193,129,130,129,131,163,130,163,194,162,161,256
257,194,129,130,194,163,129,194,194,161,129,194,194,193,162,194,131,193,131,194,162,131,193,256
257,163,163,129,193,193,129,193,193,162,166,194,162,166,130,161,129,163,131,161,129,162,130,256
257,193,129,130,161,161,129,131,162,130,198,129,129,198,129,163,131,194,193,161,130,131,129,256
257,129,162,131,194,163,162,163,162,130,198,161,129,198,129,161,131,130,129,131,193,162,194,256
257,163,193,193,193,129,162,129,194,129,230,163,194,230,131,162,131,129,194,130,131,193,129,256
257,162,130,163,193,194,162,129,130,130,161,129,131,193,163,161,163,193,161,194,161,129,194,256
257,194,162,129,131,194,129,194,193,163,162,130,193,161,193,161,130,162,131,129,161,129,129,256
257,162,163,131,129,129,130,163,163,161,193,194,131,162,162,194,163,193,194,161,163,131,163,256
257,162,193,161,194,130,193,193,161,161,130,161,130,161,161,162,129,193,129,129,129,162,163,256
257,161,161,193,162,163,129,163,194,194,129,163,162,131,163,161,130,193,193,194,162,131,163,256
257,193,129,193,194,162,163,194,193,194,131,194,162,163,161,163,163,130,129,193,129,130,161,256
257,129,129,162,162,131,162,129,129,161,131,161,131,163,130,129,131,193,194,162,161,162,193,256
257,161,130,131,129,161,163,163,161,163,130,194,130,193,131,163,163,161,161,129,194,193,131,256
257,194,131,161,162,163,131,194,163,194,162,131,163,131,193,194,131,194,131,194,161,161,194,256
261,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,260
