1,1,1,1,3,1,1,3,1,1,1,1,1,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
33,33,33,33,33,33,33,33,33,33,33,33,33,36,34,36,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
258,67,35,66,35,34,34,98,33,34,34,33,33,33,33,33,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
258,34,35,66,35,34,34,98,33,34,34,34,34,34,34,34,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
258,35,35,35,35,130,162,162,162,162,162,162,162,162,162,162,194,130,130,194,194,194,193,193,194,35,35,35,35,35,35,35
257,162,162,162,162,162,162,130,130,162,162,162,162,162,162,162,131,130,194,194,194,193,193,194,194,35,35,35,35,35,35,35
257,129,130,129,129,130,129,130,162,162,162,162,162,162,194,194,131,194,194,194,194,193,130,130,130,35,35,35,35,35,35,35
257,129,129,129,129,129,129,162,162,162,162,162,194,131,131,194,131,131,194,194,194,193,130,194,194,194,194,193,193,194,194,256
257,194,194,194,194,162,162,162,162,162,162,194,194,131,131,194,194,194,194,194,194,194,193,193,193,193,193,193,194,194,194,256
257,194,194,194,194,162,162,162,194,129,194,194,194,131,131,131,131,194,194,193,193,129,129,194,194,194,193,194,130,194,194,256
257,194,194,194,131,131,194,194,194,129,194,131,131,194,194,194,131,131,131,193,194,194,129,130,130,194,193,130,130,194,194,256
257,322,194,194,131,131,131,131,131,131,131,194,194,194,129,194,194,194,194,194,194,194,194,433,130,130,130,130,194,194,194,256
257,194,194,194,194,194,194,194,194,194,194,194,194,256,257,130,130,129,194,194,193,194,194,194,194,194,194,194,194,194,194,256
257,130,130,194,131,131,194,194,194,194,194,194,130,256,257,194,129,129,194,194,193,194,194,129,129,129,194,194,194,194,194,256
257,130,194,194,131,194,130,130,194,194,194,194,194,256,257,129,129,129,129,129,194,194,194,194,129,129,129,129,129,194,194,256
257,194,194,194,194,194,130,227,227,227,227,227,227,260,290,227,227,227,227,227,324,161,194,129,129,194,161,129,129,129,194,256
257,131,131,194,194,194,194,67,323,323,323,323,323,292,293,323,323,323,323,323,323,129,129,129,129,194,161,194,194,129,194,256
257,131,194,194,130,130,130,323,323,323,99,97,323,323,323,323,66,323,323,99,323,194,130,194,194,194,161,194,194,194,194,256
257,194,194,130,130,194,194,323,323,323,97,97,323,323,323,323,66,323,323,164,323,194,194,129,129,357,161,194,194,194,194,256
257,194,131,130,194,130,130,130,129,129,130,194,194,194,129,129,194,161,161,196,194,194,194,194,194,194,129,194,194,194,194,256
257,194,131,131,130,130,194,194,129,130,194,194,194,194,194,129,161,161,161,161,130,194,194,129,129,129,129,129,194,194,194,256
257,194,131,131,194,194,194,194,194,194,194,194,194,130,130,130,161,130,130,194,194,194,194,194,194,130,194,129,129,129,194,256
257,194,131,194,194,194,194,194,194,130,130,194,194,130,194,130,194,194,194,194,194,194,130,130,130,130,194,194,194,129,129,256
257,194,129,194,194,194,194,130,195,130,194,194,194,194,194,194,194,194,357,194,194,130,130,130,194,194,129,194,194,194,129,256
257,194,129,194,194,194,130,130,130,130,194,194,194,194,194,194,194,194,194,161,129,129,194,194,129,129,129,194,194,194,194,256
257,129,129,194,194,130,130,194,194,194,194,194,194,130,194,194,194,194,194,161,161,161,129,129,129,194,194,194,194,194,194,256
257,129,129,194,130,130,194,194,194,194,129,129,129,129,129,129,129,129,129,129,129,129,129,194,194,194,194,129,129,129,130,256
257,129,194,194,194,194,194,131,131,131,131,131,130,194,194,194,194,194,194,130,194,130,129,129,129,129,129,129,194,194,130,256
257,129,194,194,194,194,131,131,194,194,194,131,131,194,194,194,194,194,194,130,130,130,194,194,194,194,194,194,194,194,129,256
257,129,194,194,194,129,131,194,194,194,131,194,194,194,194,194,194,194,194,129,129,129,129,194,194,194,194,194,194,194,129,256
257,194,194,194,194,129,131,131,131,131,131,131,194,194,194,194,195,194,194,194,194,194,129,129,129,194,194,194,129,129,129,256
289,131,131,131,131,131,131,131,131,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,129,129,194,194,288
